Date,Open,High,Low,Close,Adj Close,Volume
1995-12-31,7.319124221801758,7.358397006988525,7.270925045013428,7.345901012420654,4.617048263549805,104121369
1996-01-01,7.328050136566162,7.363752841949463,7.235221862792969,7.28877592086792,4.5811448097229,168743308
1996-01-02,7.40838098526001,7.74577522277832,7.328050136566162,7.3441162109375,4.6159281730651855,209323879
1996-01-03,7.2744951248168945,7.297701835632324,7.178096771240234,7.276279926300049,4.573291301727295,216900264
1996-01-04,7.24771785736084,7.24771785736084,7.163815975189209,7.226295948028564,4.541873931884766,166708467
1996-01-07,7.212015151977539,7.21737003326416,6.865694999694824,6.937100887298584,4.360110282897949,186974245
1996-01-08,6.731809139251709,6.854983806610107,6.506879806518555,6.73716402053833,4.234445571899414,388766555
1996-01-09,6.605062961578369,6.763940811157227,6.533657073974609,6.564003944396973,4.125611782073975,276606655
1996-01-10,6.49795389175415,6.8014302253723145,6.489027976989746,6.769297122955322,4.254641056060791,409645726
1996-01-11,6.819281101226807,6.871050834655762,6.653262138366699,6.6978912353515625,4.209760665893555,374687924
1996-01-14,6.678254127502441,6.712172031402588,6.590782165527344,6.628270149230957,4.1660027503967285,199981539
1996-01-15,6.605062961578369,6.676468849182129,6.583641052246094,6.640766143798828,4.173856258392334,217247573
1996-01-16,6.605062961578369,6.613988876342773,6.321224212646484,6.37656307220459,4.0077996253967285,299629901
1996-01-17,6.214115142822266,6.315867900848389,6.133782863616943,6.199832916259766,3.896721839904785,377502810
1996-01-18,6.1141462326049805,6.190907955169678,6.0498809814453125,6.090939044952393,3.828280448913574,324535340
1996-01-21,6.110576152801514,6.274809837341309,6.105219841003418,6.1944780349731445,3.893355369567871,338613971
1996-01-22,6.21589994430542,6.242677211761475,5.605378150939941,5.932061195373535,3.728421688079834,354919302
1996-01-23,5.880290985107422,5.915994167327881,5.641080856323242,5.72855281829834,3.600512981414795,351185727
1996-01-24,5.716056823730469,5.741048812866211,5.453639984130859,5.487557888031006,3.449042320251465,360855771
1996-01-28,5.462564945220947,5.971333980560303,5.428647994995117,5.9195637702941895,3.720566272735596,652902286
1996-01-29,6.105219841003418,6.747875213623047,6.015963077545166,6.451539993286133,4.054924964904785,1061936020
1996-01-30,6.390844821929932,6.631840229034424,6.149848937988281,6.310513019561768,3.966287612915039,731560842
1996-01-31,6.248032093048096,6.605062961578369,6.230181217193604,6.564003944396973,4.125611782073975,640422958
1996-02-01,6.738948822021484,7.354826927185059,6.738948822021484,7.276279926300049,4.573291301727295,818725675
1996-02-04,7.676154136657715,8.040325164794922,7.4458699226379395,7.881446838378906,4.95365047454834,1222482548
1996-02-05,8.070672988891602,8.211700439453125,7.05492115020752,7.220940113067627,4.538508892059326,1242315590
1996-02-06,6.821065902709961,7.426232814788818,6.749660015106201,7.354826927185059,4.6226582527160645,895441820
1996-02-07,7.429802894592285,8.127798080444336,7.354826927185059,7.997481822967529,5.026581287384033,821653997
1996-02-08,8.283105850219727,8.640135765075684,8.001051902770996,8.461621284484863,5.318302154541016,994440377
1996-02-11,8.247403144836426,8.390214920043945,7.818965911865234,7.931430816650391,4.9850664138793945,971599188
1996-02-12,7.854669094085693,8.716897964477539,7.786833763122559,8.408066749572754,5.284641742706299,1019034918
1996-02-13,8.622284889221191,8.74545955657959,8.349157333374023,8.413421630859375,5.288008689880371,622459505
1996-02-14,8.211700439453125,8.479473114013672,8.140294075012207,8.279536247253418,5.203857421875,699136437
1996-02-15,8.140294075012207,8.220625877380371,8.070672988891602,8.133152961730957,5.111853122711182,495646793
1996-02-18,8.283105850219727,8.397356033325195,8.167071342468262,8.215270042419434,5.163466453552246,518231701
1996-02-19,8.211700439453125,8.245617866516113,7.676154136657715,7.781477928161621,4.890816688537598,639131752
1996-02-21,7.961779117584228,8.247403144836426,7.892158031463623,8.192063331604004,5.148879528045654,613558303
1996-02-22,8.175996780395508,8.19384765625,7.968918800354004,8.104591369628906,5.093901634216309,546094871
1996-02-25,8.19384765625,8.36343765258789,8.070672988891602,8.122442245483398,5.105120658874512,544960514
1996-02-26,8.168855667114258,8.211700439453125,7.892158031463623,8.029614448547363,5.04677677154541,542491536
1996-02-27,8.18492317199707,8.275964736938477,8.05103588104248,8.068887710571289,5.071460723876953,427826248
1996-02-28,7.997481822967529,8.026043891906738,7.515491008758545,7.563690185546875,4.753934383392334,697898447
